LocationDescription,Condition,Visibility,Drifting,Region,RoadwayName,EncodedPolyline,LastUpdated
From Tillsonburg to Ingersoll,No Report,Good,No,WR - Tillsonburg,19,y~vdGzc{kN}EhF_@^_An@YRKFa@Po@Z]L]Nk@P_@FsCh@YFgALiN~Bq@Jem@vJiB\gPjCc@DoGdAq@JwCj@}B^kKxA_Ep@kG~@aG`AkInA}AVgSzC{]tFq@Lo@Pm@Rk@Pg@RmAn@e@Zq@b@}@j@mErCqGbEiBfAkCjB_@\wWnRmGrEeDbCiDbC{VxQ{e@x]__A|q@{TjPus@lh@a]|Vuj@pa@_LnIkE~CwCxBo@h@o@j@mFbFoHdIgEzEoJ|JkL`MiBlBkDrDaNxNkDjDe@f@g@j@{BnCQRq@x@}@xAa@r@s@fAaJtNq@|@eAlAsAjAQPc@XCBMFULaAb@e@Te@RoAZo@HiRbDoHjA{PvCoCd@eCj@u@TiBt@kAh@cAf@k@\uAbAYXm@d@k@p@_D|DyYpa@aJjMyE~G}AtBeCnDyFjI}IjMa@j@QZuAlB]h@MLiCxDKLuB|C{AvByBvCyDpF,2025-07-14T14:48:42+00:00
From Stratford to Mitchell,No Report,Good,No,WR - Mitchell East,8,ahxgGv}lmNio@|iBmv@lxBqDjKyF`PkJfX}GzRo@`B{EpNyI|ViLp\i{@leCq{@peCe{@~eCub@nnA_FxNm@bB{Nhc@{z@`fCoU`r@,2025-07-14T14:48:47+00:00
From Stratford to Elginfield,No Report,Good,No,WR - Mitchell East,7,{zogG|bmmNhHtFdH|FhNrKd_A`u@by@tn@zb@x\fDfCbh@`a@tRpOpLnJvHbGtGnF|DjDdbBfsAd_@bZnHzFtl@ne@l@f@vSzOnBjArAn@dl@dS|B|@~A`AXTfA~@nAtAh@r@rBvDxDdHzDbHtA~BhAvBxA|CdBbEbArCx@lChBxG^hB~Kbl@~@`F`BvJdDvOlArFjOjs@`AdEP|@`ArEXlApAnGpA`Gh@pCvLhk@zBhKhI~`@xLrm@`H|Z|Mtn@~AvHjDrOpBlJb@zCpAfGz@`DpCnMtQj{@fDvP~DlRtVxlAzB`L`P`x@tBpKrCzM|Ilc@nAxFlE|TvCnObCzM|Zf~Ajq@`tDzh@rvCbDtQhAjGra@f{BdMrq@l[tdBtAlHdE`UzIlf@pApHnAxG,2025-07-14T14:48:47+00:00
From London to Highway 7,No Report,Good,No,WR - Mitchell East,4,m_veGrgdoN_Bp@{Q~GqEfBqHlDMCqAh@m@TINgFjByInDmt@~Z{hAvd@qfAtc@cjAze@ek@fVqRdHu@TgEvAiFnCkMtGoYxLm@X{fBzt@_hAhe@qjAlf@wm@zVgEzDyCpD,2025-07-14T14:48:47+00:00
From Elginfield to Atwood,No Report,Good,No,WR - Mitchell East,23,ctnfGpinoNgEj@ki@jGk@JyjAvMwqBfUsqBpU{qBpUu\vDenAjN}Gj@wEEwCa@aGkBwBsA_t@ok@wbBwqAubBerAsz@kp@m@g@}^qYyEuD}GmFAAe@_@{U}Qum@gf@c@_@oRiOkaBeqAeaBkqAsIyGi@e@kbAsw@uAwAaFmH}@mAaA_AaCaBsAa@sBg@gD@eZnCuGq@gH}Duu@um@maBasAixA{jAkHaG{pAodAgOoMkQiOyGuGaHgFiC_AuBUkGGqF]_Ck@{AiAsGiFcAw@yLsJsBaBeCqBmCuBr@qB^gAxAgEeCsBaG}EkKmI_K_IeKcIoGeFuh@wa@kOoMgqAidAcAw@qyA_kAg@a@uD}CgbBarAgbBgsAyaB_sAkbBurAqy@sp@kAeBcCwFyA}HSiFCiCl@mH~@kExFkRbA}CpAeEzBqHyDsCaEuCmB}AoAy@qCsB}NmKmcBemAuaB}kAiMkJkBoAuqAq_AubBslA_k@ia@,2025-07-14T14:48:47+00:00
From Mitchell to Goderich,No Report,Good,No,WR - Mitchell West,8,cfjhGr`unNuHdUgEdMuY|z@a`@jjAyz@dfCoS`n@q`@dlAK^Q\oA|DUv@_@hA{CbJu`@dlAuSvn@_z@nfC_z@dgC_@fA}x@vdC}b@rqAUr@cC~HA@gHjTwArE_BxE_BzEeBfFeBlFmEzMoArDq@pB{EzNiAzC]|@yTxm@iUhs@gH|U{e@pwAez@`gCiG~Qoq@ntBgt@zxBuX|z@gf@xxA{J`ZeE`M_EtLCJgBpFaAzCM\yAdEaBtFcF`OcEnMmE|MSh@o@jBu@|BaChH]lAqEfNwEnNcGxQiCbHwH~U{W`y@i^|fAwC~Is@xBSj@Ut@i@zAsAtDeCjHiBnEqBhE{AnCkAxByGnMgCxEk@dAcErHuAjC{CxF{B~DaCpEEFyAlCqCxEcDhGwB|DcAnBiDjGuD|GoA`CcCpEMVS^e@z@yCtF]l@_@r@Ud@S\q@pAa@r@oA|BS^g@z@Wd@s@dA_@d@k@t@c@d@i@l@c@^WVYT]XUPYRq@`@[T]PgAf@e@T_A^gBt@s@Vs@Z}@\iAd@_@NkAf@q@V_A`@q@V}B~@meDltA}EfB}E~B{B`B_L|IyFzEsC`DcAxAwa@`r@at@rlAsMzS_OxV{g@tz@oUd`@kB|CwBrDoBdDkH|LaAbB}GfL,2025-07-14T14:48:53+00:00
From Zurich - Hensall Road to Goderich,No Report,Good,No,WR - Mitchell West,21,qc~gG~euqNyF_@cNy@wMy@_BK_OaAkKo@{Jo@ia@gCC?gKq@{U{Aea@aCom@aEyMq@}TuAkVwAuAImh@uCqAIy@E{a@cC}a@eCia@aCgm@mDmdAiG}Ks@i`@_Cml@gDIAE?SCsSsAeo@qDyl@aDuKq@{`@sB{@EuBCeECkJGgCAeCC}BAmPIgREsAJwBb@iBl@m@Zk@\kBpAEBi@h@uA~AmGhJ}G|JwAlB]Zg@XOHa@F[@}@AG@AAeBCwHQ{CQsAOeCQgAFc@HmA\qAv@gAbAeA~Ao@bA_BjCmBbDyBvDoGjKs@bAm@r@oBpBkAz@gChBqB`AuBp@_Dt@mCVsCBaL@{c@HaJAsB?_b@BcQDeGAwBFaBAoB@qB?oA@aJCuMCiB@wDAW?g@Ae@?y@@yF?}@Au@?w@@mE?uf@Bq@By@A{F?q@@s@?y@Au@?}@Au@@y@?mCCuN@G?y@Am@?q@@o@EgE?oE@qL?yE@y@@w@AgM@kQ@sL@iBAeEAm@@ayB?_EAkJ?uEF}BAe@@sDCc@?M@K?m@Ai@?M@]?k{AOcb@@aa@?gK@cb@A_]DeuAJqVJmJBwNBoGB,2025-07-14T14:48:53+00:00
From Highway 7 to Highway 8,No Report,Good,No,WR - Mitchell West,4,y}mfG`zpoNyC~DwBbEg_@bgAclAtmDaErLqDhKmBxFcElMcClHaBvE{FpP_BrEmc@hrAkBhHoAlHa@hCeBtQ[~GEtLPfNpDpo@AtFQdC{@vFsBnFsAvBaC|B{AbAeC~@_H~@kbE`e@_bBpR{MzAyVnDav@|Hcb@zEs^lEqc@jFoPlBo[lDgc@fFq`A|K}I`AgCZ_H|@_mArNmJlAiKpA_xAxPwOhB{Fn@{Gz@eEf@m@HsEf@aJhAoJfAaJlAM@eFj@mBVoI`Aa@DkANoH|@iIbAwIfAq@JaKlAqdB|SupBxV_XhD_mAbOymAbOkg@lGoDf@aEd@{Dd@aEb@aWzCofAjMerApO]Fy\`EuAPs@HeBT_@DG@eBT_AJuDb@A?mDb@kC^]ByC^YB_Hz@_@DeCVkDf@y@Hw@JeCZyC\cDb@}APy@JA?aD`@qDb@{KtAM@E@cEh@_BPoANsbA|Lkm@zHm`BpSsGv@oFv@{ALmC\mSfC}@JcsAjPaTlCo{AdRaqBxVc@FUDWBSBWBSDm@FSBOB_AJQBUDeBRcCZaBRqANw@J}@LW@wsAvPuZpDkDZkCb@sEnAyFzA{A\}Ar@KFg@RUHQHUHOHg@RQFg@RA?k@RSHQJSHQFQHs@VWNoAd@w@ZkK`E}@Z}H|Cm@Vw@Z]Pk@Vm@Vk@Vo@Vc@Ri@TwBx@eAR,2025-07-14T14:48:53+00:00
From Orangeville to Shelburne,No Report,Good,No,WR - Shelburne,10,k~`kGtawgN?@Wt@q@jB{AtEcC~He@tAwBtEu@zAOFWh@oAzBCN_BjCm@`AaC`DmC|CcG|FyDpDkBxAE?gAfAw@t@CJsCpCoCvCqAnBmBrDGDk@dB[bA?LwIpZcAjCkA|BaAvAGDeArA_A`ACHcBpAYPkDjBa@PkDz@yAX{Cb@gJxAeEp@mCh@g@D_YlEKIs@JOBeARCL}Y|Ei_@vFqhBlY_hD`h@yIpAefCd_@oUnD{G|@kGvAA?uO~BcOxBaGv@mNfBwd@|G{]nFsG~@yMpBaBZoXrFk]zDgHx@c`AhN_g@|Fkf@zIA?aKfAoBZuBVKGy@LGJ,2025-07-14T14:48:58+00:00
From Flesherton to Chatsworth,No Report,Good,No,WR - Shelburne,10,y{smGhunkNA@iRx^kWhh@mTva@yZfm@aR`_@cZ~k@_ApBy_@tu@{@lBk@|Ag@nB]pBStBuBf]U|B_@vBg@lBo@hBuBhEsFpKms@|uAeBpEi@lBqCzKiC~Jm@fB{@pBeKjUQ^Qf@M^EHOh@Oj@Mj@Ml@CPGZIl@In@Gl@AVkBtXcCx`@mAvUw@xJgApEUj@qDpHgDpGwJnRoEfJ_ItOuh@neAwBbEMLqAtBa^xs@}H|OmN~XiMtVe_@zt@i[lo@qK`TqHzNiExIo]vq@gAbBoAzAuAnAyAbA{Av@cHvB}Ar@yA|@{AjAmAtAaChE}@rBgHjSuAhFgEtR_AhFaAnCuSpa@sAjDa@pAkAdG]lAi@lAq@fAa@d@WZ}BdBmDnD}AbB}@lAoAvBqAhCsIvQOr@@b@sB`@UJc@\,2025-07-14T14:48:58+00:00
From Rosemont to Mount Forest,No Report,Good,No,WR - Shelburne,89,iyhlGfyfgNdHvd@zLxx@hAdIhUvcB|Ln|@pDpVVrAb@pDN|BDnADbACxAIvCUpFk@dOCt@Bz@@dABz@LdAR|AVnA\tARj@j@pAXl@d@|@f@v@j@bAX^h@z@T\n@hA`AtAT`@PXZh@^x@JZRf@FLNd@JTNd@p@hEj@vDf@jDhLdw@xKx^nA~Hh@lGjBn`@HfBJrAJbAzIhp@Hh@lUn`Bd@hCrRbvAr@|FT~BXfFb@lHtBp]Bb@Bj@BTvHpm@`@vC`@nDhSb`BpLj_AR|BPrCFdBLtLJ`BDzBZ|CjHbk@`Jbu@ENRlBTjBHFbAjLvAzKlCrUVrBlAjKtArKpA`LLdAp@nF?Bt@~Ff@dEx@dH`Ffb@jGjj@vFdf@tJhx@d@pE~Eja@bB|M|Er`@`Ihr@`N~hAvGtk@|Jtx@tTjhBnCdUzO|pAnDvZ~DpZnAzJh@pEn@rDXtA^tALV^`Ab@bAl@z@j@v@p@r@h@f@n@d@pBjAdIzGt@v@j@p@j@~@d@~@b@`A`@lAt@hDRvAjJvt@?DxAlL`@xCpGxf@nB~OhCvR`AzHfAhJbCxQbAnIXzBt@bFxInq@zLp`AhAlIlDtYvEt_@~MhgAbIzo@tQjxA@FrLl~@rMncA|PrsAbJjs@xBhQzLh_AdC|QZvBlArIbD`WF`@Ff@`K|v@F\pJhv@~CnV~Rb{AxFtc@x@tGnNtgAbEh\`BhMp@pF`@`DR|B,2025-07-14T14:48:58+00:00
From Shelburne to Flesherton,No Report,Good,No,WR - Chatsworth,10,mgblGtnphN[D_A^yAt@aAn@yAtAg@v@aA~Aq@vAY`ASf@m@rCa@vDa@vF}AbQu@`KcF~m@iNtiB[jEmAlP[vDi@pDy@bD_AhC{BrEup@|rA}`ArnBcFxJihAhzBwd@`_AwClFiDdF{QnT}BjDy@tAgD~GCH_r@ttAyOx[uDfG{DnFmQ`TyItP{h@dfAsWhi@}g@hdAwFtLiJlRa|@nfB{Pp]sC`HqA`EoAxEqA`FgLzm@kBfHmBzFwAlDwAbDmBvDam@xlAaGbMs@lBi@tBe@xBi@bE{AfWeBtZm@rGE^QpACJKl@Ml@_@vAQj@Qh@Sf@]t@yR`a@gExJELMZK\I\G\G^sAvJ{A|TQvAId@Kd@AHW|@O`@O^w@jBcEtIKPk]`r@sHnOOTQT?@cCvCsGfFwBbCQTWZS\U\Q`@S^ITUp@A@M`@CLsDpNuCrI_@lAiBpFmDxKK^Sn@Op@ERIZMr@Kp@ABWvCYjCyA~ReA~HKj@I^IZMZ?@uDhKmQ`_@gBxDEJKT?@wAlE_ArAMTIPGRA@mBxGyDlLsGpMyWti@aRl`@yDfIsBjDwB~D}EhK}EvJuQn_@wKpTs@jASj@qDtHu@xAoJxOoDlCkDhC_Ar@]TWR{@dAu@nAe_@nu@kAvB{Qf_@gr@|uA{@tBuBtG_AtFyDhWm@zDe@bCo@`Cu@zB_AtBcZnl@kGvLmZjl@uhAbzBeG`Lmb@hy@gDlGuEzIaApBqFhKwBjEcAbBwBhE_iAdzBqg@naAaLzTk\ho@,2025-07-14T14:49:04+00:00
From Collingwood to Owen Sound,No Report,Good,No,WR - Chatsworth,26,kyvnG|{`iNg@pFK`B_@xHClBCjGF|FFjBrA~RdAdPvAfSXzDb@vI@nBEhDWtDs@dFkGx_@_C~MUjAmAfEeQhf@}BlFwAzCaSr^_ElI_@t@mB|EaArC}B~GqAbFg@rBiCvMa@`CyB`OoFp_@i@jEa@xDOpDCnADxB~Bbc@\xGdDnwA|A`{@PlL@fCCpBQbFe@pF[xBeD|RgFdZaAlEq@fCaJbWoEtM}K|ZkEzLcStj@kCzHi@nBa@xBYvB[bEm@|M[|Be@nBk@fBw@xA{@pAmIrKcKpM}JtMu@jAgArB}MhZoF~LaEzISh@U~@I`AWrFMrCCb@E|@UdAsBjE{BlFmFtLoF~Lw@pBeF|N{ExRwJ`]qAzEg@xC_BbMsVzqBaGdi@s@xFaCbM_Urs@qJj_@oRvr@uB`Lc@~JgF`xAm@zS_Btn@SnEWpFgBnSgGb\i@xCoEbj@UfCqArJ{ClJ{Vpm@qD`GwHzI}CpDsCdCg@^yAt@aBb@iDbAKB]JkElAsFxAyEvBg@RSJkBn@qLhDuEvAqE~Ak@r@cCbDsIhLYh@MTcCjEWf@uM|WaDpGyAbDi@jBa@rBQ|B?xCDd@HlA^bDrQrxAjl@jtE~k@hpEdUjgBfNpfA^zFSnUC~CdJtjBjAvUrGzrAfUbuEzNnwCvEj}@@VvVltExGfoArApWtE`z@l@jKC~UZ|K,2025-07-14T14:49:04+00:00
From Mount Forest to Owen Sound,No Report,Good,No,WR - Chatsworth,6,}snkGfyykNc@jAwBzG}AvD}AvC_Xdb@qElHqBjDiB~Dm@dBqAtEa@nBsBzLeBhIoBdHsAvD{BrF{BtEcCjEwKfQmCnE_AzAoBzCkCjDkAlAcDnCaGjEqAt@aDpAiE`As@Joc@nHuDp@{@V}CdAcCpA_BbAwFfEeg@rZwDfBiBd@w\jG{]lG{DlA{InEiGvCwAf@}Dt@aBLeEDg[aBcLk@_Lg@_E?kENmEd@}W|EgBNcBBqDI{BU_B]{Ae@uG_C_Bc@mDe@{BMeB?gBHeBTiE`AaBp@aBx@_VxN}DpBaBl@cB`@mQdDaRlC_TnCiBVgEr@wE`A}c@pJgZnFeKnB_@Fi@Hk@Fk@Dk@Bk@@k@?wAGk@Ei@Gk@Ii@Kk@M]KC?uQgGeBa@mE_@iBCcBFM@aEf@s_@xFuTtFcoAjUkNdCyE~@inAfUeiAzSwG`AaE@gD[oGm@yJrAoDoAkF}Ao@HeIbBmPzCiKhBsCd@y@NwBf@oF~@{EbAiKjBuCj@gFdAiEt@wrAfVydBxZoGbA_NOiA?A@S?A@O??@K?A@I?A@I?A@G?A@G?A@E?A@E?A@E?A@E?A@E??@E??@G??@C?uFxBkUdLkDdAkOhB_E^kCZsGt@}WnDePfAcQfAsYdIcNzDyO|CaYzE_z@|Nwy@|Nej@jJii@zJsKzBgObC}]lGo@N_@HgAZa@NcAf@a@T_@VQLqCjBwDrC_@T_@R_@Pa@Pa@LcAVyYhFaXvEsSlDa`@|GycAdQcVlEyf@lIcZpFuJ~A{_AbP}G`A}AH_BG{AU{Ac@iJoDyAc@}AUu@EgCC_BLy{@nOiDf@iHpAaRbDo@JUFoB\o@JmF`AwHpAiDp@qg@rIk^pGu`@bHwA\eDnA_DhBkAz@qCjCgi@zq@uBhCsCbCyClBeDtAwA^wnA~Tah@|I{{@xOaDf@gBZA?YD[B[@[?MAoGQOAUCUEUGSIQKqMgHmBg@cAISAE?o@FgABk@FcX`FqKnBO@sB`@UJcJhHkCx@_KpFcMfGoKbFiCnB}CpAcDhAgAXaTzDsQvC_r@`Jor@xJgc@fGuSfCcl@`IuAR{w@vKab@xF_D`@GGwARcANAHybBnU{pB~Xm@J,2025-07-14T14:49:04+00:00
From Goderich to Ashfield,No Report,Good,No,WR - Kincardine,21,u_`jGppuqNg@Is@MYGq@[m@e@]k@m@_BE[Go@T{RFcCCoACcASaBOo@So@Us@q@cB{@mAeA}@u@k@u@Y{@Uu@KaAAkBVK@cJnB{BVcCFkC@cOCeJJuAIcPJ}AGmSJqAEkIDm@CkEB_SDaGB{GA}E@{AA{F@iDAyGBy@Ae@?uHEkt@@qa@?ojAHwC@e_@I}i@D}f@?sQAuIDsANiBd@uBz@gAj@kA|@_A|@s@v@cArAm@`Ao@jAc@fA}AtEqGzSWr@w@`BsAxBoB~B_Az@oA|@eAl@qAf@aAVs@PaAJaAFeB@wD[yl@gGidA{JoV{BiWaCiPkB{VwBqz@sI{`@wDaBSy|@uIehAmK}Fg@q@?e@AkDPuMz@if@vCs^vBaO~@eFp@cEDe}@bGgWbB{PlAeCXc@HuAAuXlB{CRyeBzLuPlAuD^wBb@kFx@mGr@}SxAmTxAgt@nFwaAdHkGZa]CcKCkC@{ANmB`@kElAyBl@cgBxg@sCj@uC@qEw@gFcDk@e@QMAA,2025-07-14T14:49:10+00:00
From Ashfield to Southampton,No Report,Good,No,WR - Kincardine,21,sbykGljwqNoBwAmYoSkUeP_o@oc@ci@s_@{h@e_@cEwC_IsFmd@}[q`@aYwSiOkg@m^_JmGoQkMif@e]AAuXsRuLmIkBkAwi@o_@sNyJ{p@{d@mJ}GeHgFw\{VobAqu@kDaCkZ_T}K_IwIgG{CsBiIyFwX{RyOeLoDkCsFyDyImGqPiLCCy@k@[ScA{@CAa@a@[][_@MQWc@We@EEEK]g@GIaAcB[g@Yc@y@eAQQOQYYYU[U[SEEQIa@Qc@Oa@Mq@Oa@ICA{Ey@cAW]K]MYMECUKIGm@]}BaBeJsGij@c`@wJ{GkX}Qwf@w]gg@}]gQcMoReNmUiPcz@ol@m`@{XgFmDqc@m[cd@u[kReNyEgDqE}CwTuOk_@eXqUkPQOaD{BiI}FcAs@vCuJ|AkFnC_JbUyu@Tw@Rw@Pw@Py@N{@Ly@VwBJ}@NyBD}@?K@C@Y@}@B_A?{BASA{@G}BO{BO_BKw@M_A_@_CS}@CMYmAUu@Qo@CGUq@Uo@Wm@Q]?C[o@[m@We@AA_@o@a@m@a@k@a@i@CEMOk@m@o@o@o@k@m@g@qCsBqF}DoJaHyDsCyHwFwEiDwDqC_BiAkA{@uDsCeMeJu[qUgf@y]_OoKi@_@eI_Gw@i@gPmLiLiIit@ah@{CyBe[wTuJ_HyXaSka@oY}s@sg@iHcFke@q\ceAsu@o\iVcXsR_YeSAAa@Wa@U]Qg@Ui@Ug@QUG]Ki@Mg@KIAe@Ie@Ee@Ca@CuDIqFCM?iMMY?{AGm@E{ASm@Km@Ok@Oc@Mc@OUK_A_@UKICOIa@S_@U_@WEEuA}@iwB{|Aqt@_i@wHsF_JsGqRiN_FoDyP{LiHkFcJuGuc@{[cN_KqDkC{@o@_EuCeReNgAw@aMcJm@c@wB_BcDaCmIeGcDcCgDaCeDaCkIgGgDeCiKwHeBoAy@o@cAs@sMsJuRwN{^mXwo@sd@o^eWSK_@Ua@Q_@OcA[a@IICi@IA?aAG_A?a@B_AJ_AR]L_@N]NOJeAn@GBABMH]X[Z[\GFSTY^A@W^Wb@Wd@k@jAi@|AGVg@`BKVQh@?@Sf@Uf@Ud@Wd@Yb@Y`@Y^CBWZML_@\eAx@MJg@Zc@Ta@PoTfIwEhBgA^eA`@eA^eA`@cA^cA\cA^aA^cCz@_A\m@RaC|@kC~@y@Xo@TcA`@u@X_A\m@Tw@ZuAf@oAd@w@Xu@XOBWFUBU@U?WAUCUEUGUIKEa@USMeI{FkIcGmIaGeDcCuCoBwAeAOK_As@kDcCgDcCgDaCWO{@m@a@]A?q@e@m@g@o@g@m@i@UUkBoBIKMMU[q@aAk@gAg@kAQg@_@sAMi@[eBIi@Gk@K{ACm@CsAMwM?OCq@KaBGq@CQAMc@iCMk@Oi@Qk@Qg@g@oAUe@Wc@Wa@MUSWaEqFMQWc@Uc@Ue@Se@Sg@Qi@Oi@}DmOCKQi@Qe@Qg@Sc@Ue@Ua@Wa@W_@Y][[?AUU_Aw@a@YCAsCaB{Au@KGQIg@Yw@k@s@s@Y[W]U]U_@Ua@Sc@c@gAGSCEi@wBKi@CO,2025-07-14T14:49:10+00:00
From Southampton to Allenford,No Report,Good,No,WR - Kincardine,21,qvtnGdunoNSgBKwACk@?c@MkOSeYQySO}U?cC@o@F}ADo@Fm@DYDa@RmALm@Lk@\iAhBsF|@qCBGpA{DNg@Ni@Nk@b@eCN}ADm@@E@[Bo@@o@?_BAo@Cm@K_BACyFal@qL}jAyJm`AwAaNqTcvBoCwVaCgUGq@{P__By@uHwNivAgRsiBmFah@?C]iD_@iDIo@iQ{dBAGIw@Ku@Mw@Ic@EQOs@c@gBIWMe@Uy@COOk@Q}@Q{@eCgN?CKi@Kk@OwACYEw@CaAA{@KwHCqCKsHASCo@EaAMuA}AqNIaAYuCyHsu@o@gHmHct@,2025-07-14T14:49:10+00:00
From Harriston to County Rd 10,No Report,Good,No,WR - Kincardine,9,yy_kG|frlNiD`I}BxF}FfNkCvGy@dByArDyGnOaAfCyAjDiZzr@s@hByEzKeAnCaBvDs@rAg]vx@y@bBcBbEaPb_@eUti@oDrIcHlPm]fy@ab@lbA}^`|@oS`g@}GdPqH|PeOn^sIjS_@~@A?cCtFgHvPaCvFuCzGyCdHoA`DgEvJyIvSkG|NyZzt@{V`m@oZft@q[tv@qWtn@oLbYycAncCsRpd@ml@tvAsbAp_Cy^p{@_H~OsCzG}GzOaA|BiFzLQ\oBrE?@eBbEuCzGWl@Ud@OT[j@A@OVA@W`@[\CD?@A?KLMLk@f@WPk@XkAf@eDpAq@ZSJa@Te@Xe@\KFe@`@k@f@k@h@QPqDtDm@j@k@l@IHoBrBqBpBgBjBaCbCy@x@sBxBgDhDoHlHIFg@b@i@b@i@^k@^i@Zk@ZYNiLpFoPzHm@Rk@Rm@P{A^m@Jo@Hm@Fo@Do@B[@cFAsUOgG@c@?cBFcBNkAPig@bJaq@zLuDr@{w@fNio@|K}RhDcOhCyM`CmDp@uJbBeDj@KK}@N?B@J@NBVFpA@f@?fAAT?FAx@?NAb@?JBfABb@BVvAnSTzCb@lGXhE^pFdA~ObBjUfFxt@vDph@\dEB`@HhA@VDp@BX`@dGhAbP`F`u@jAhQ\zEd@pGbLl_BpDbd@jA~K,2025-07-14T14:49:10+00:00
From County Rd 10 to Kincardine,No Report,Good,No,WR - Kincardine,9,_kelGhbwnN|LdlAf@hF@FN|Al@`H`J~jArFds@tApQpRhgCpNtkBjDfd@XdEPvBh@tH?@p@bIVfD~HfdAp@nJrCn^hBlVPzBh@rGTtCL`BhApOZrDXhDRnCBR`L`yA?BJ~ABn@B~AAp@?ZG|AEn@Gl@wPb{AkEd`@_SphBePfyAi@fFA@OvAQvASvAO~@GX?BQ|@Sz@U|@Kd@aFxPch@`gB{v@`kCuA|EgB`GyE`PsB~Ggf@jaByo@lzBgB~FQl@Qp@o@pBQ`@IRMRQVSVk@j@{AnAa@`@]b@A@[j@KTIXIVGZEXCJE\C`@Cb@Ab@?LAj@Av@Cr@Cl@El@OxAIj@Kj@i@|BCDgB~FuFlRaEjN}CdKiRpo@?B}j@bnB}GpUiAdEmF|QmA`EsUnx@gArDQh@g@nAUd@Ub@Wb@W`@Y^KLwEhGMPW^k@bASb@Sd@Qd@ADM`@aEbNQj@Ol@[~AEVGd@Gf@Ef@GpAAZ?dAAp@?FC~AQjCSzAIj@[vAOh@CLclArbEgLp`@}CpKY~@]fAmA|ESbA,2025-07-14T14:49:10+00:00
From Allenford to Owen Sound,No Report,Good,No,WR - Clavering,21,ggznGrcinNsKyfAGe@Ee@Cg@Em@C{A?}A@m@Bo@J{AFk@Hm@Hk@Jk@Li@n@iCPk@jCkJNg@Ni@Li@Ji@Hk@Jk@NyAJyABi@BuA?k@CuAGsAEi@}AuOKuACk@CwA?m@BwABaAd@mDpHcYTgAZyCD}AAcBEyAq\caDoe@awEoa@mqE_VcdCKiB?eBn@gu@JsJBE?qADoBHkBD}AXqG~E{b@p@qIEkJ[_DmAiFyTmu@BMGO]mAISG@cB{FkBwCyPwOyAwA,2025-07-14T14:49:16+00:00
